pkt_rate,byte_rate,entropy,label
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
1,42,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
1,42,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
